unit,sector,indic_na,geo\time	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
PC,S14_S15,DIR_S14_S15,AT	77.13 	76.41 	79.61 	84.13 	85.45 	85.04 	86.51 	85.96 	89.15 	89.24 	86.44 	: 
PC,S14_S15,DIR_S14_S15,BE	60.28 	63.39 	66.28 	71.07 	74.18 	76.75 	78.84 	79.92 	84.28 	88.75 	89.45 	: 
PC,S14_S15,DIR_S14_S15,CY	112.15 	103.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,S14_S15,DIR_S14_S15,CZ	19.08 	20.49 	26.14 	31.42 	36.46 	45.50 	49.65 	52.02 	53.16 	56.14 	57.30 	: 
PC,S14_S15,DIR_S14_S15,DE	104.53 	103.27 	101.79 	99.59 	97.19 	94.19 	90.47 	90.51 	88.21 	85.76 	84.53 	: 
PC,S14_S15,DIR_S14_S15,DK	187.78 	195.84 	210.43 	232.00 	238.08 	254.60 	261.91 	269.92 	266.81 	266.44 	265.65 	: 
PC,S14_S15,DIR_S14_S15,EA17	77.16 	79.64 	83.03 	87.69 	91.64 	94.04 	95.04 	97.64 	99.53 	98.94 	98.43 	97.09 
PC,S14_S15,DIR_S14_S15,EE	24.87 	32.94 	45.46 	60.54 	81.12 	88.26 	91.91 	95.70 	92.94 	82.66 	80.46 	: 
PC,S14_S15,DIR_S14_S15,ES	79.34 	87.83 	98.97 	110.96 	123.79 	129.94 	126.59 	125.66 	128.37 	124.60 	122.85 	: 
PC,S14_S15,DIR_S14_S15,FI	65.05 	70.10 	76.04 	85.14 	92.43 	96.76 	97.87 	100.00 	102.18 	103.99 	106.01 	: 
PC,S14_S15,DIR_S14_S15,FR	54.75 	57.30 	60.00 	64.86 	68.63 	72.37 	74.73 	78.08 	80.54 	82.36 	83.33 	: 
PC,S14_S15,DIR_S14_S15,HU	18.56 	27.45 	32.40 	37.89 	42.96 	50.33 	62.24 	62.92 	67.25 	63.40 	53.99 	: 
PC,S14_S15,DIR_S14_S15,IE	112.24 	126.63 	146.74 	170.87 	191.84 	202.81 	198.77 	208.95 	205.80 	203.05 	197.75 	: 
PC,S14_S15,DIR_S14_S15,IT	37.71 	40.33 	44.07 	48.42 	52.84 	57.04 	58.05 	62.50 	64.99 	65.28 	65.75 	: 
PC,S14_S15,DIR_S14_S15,LT	4.78 	7.95 	13.73 	21.20 	31.58 	44.08 	44.89 	45.89 	43.07 	40.08 	37.66 	: 
PC,S14_S15,DIR_S14_S15,LU	: 	: 	: 	: 	119.17 	126.78 	125.81 	131.90 	134.57 	140.45 	142.90 	: 
PC,S14_S15,DIR_S14_S15,LV	14.52 	20.71 	29.61 	48.64 	70.89 	81.20 	70.78 	74.69 	73.43 	65.88 	56.90 	: 
PC,S14_S15,DIR_S14_S15,NL	163.58 	179.25 	189.64 	205.25 	218.83 	222.33 	230.06 	243.88 	250.70 	248.86 	250.34 	: 
PC,S14_S15,DIR_S14_S15,NO	121.33 	126.40 	134.96 	140.64 	165.09 	170.05 	168.96 	169.34 	173.55 	176.00 	180.33 	: 
PC,S14_S15,DIR_S14_S15,PL	17.28 	17.80 	19.07 	21.85 	27.01 	35.10 	48.03 	48.04 	52.23 	57.82 	53.88 	: 
PC,S14_S15,DIR_S14_S15,PT	96.20 	102.19 	108.15 	113.89 	121.92 	126.36 	127.60 	130.52 	128.10 	126.53 	122.48 	: 
PC,S14_S15,DIR_S14_S15,SE	100.79 	106.90 	115.20 	123.76 	130.42 	132.51 	136.46 	142.04 	148.89 	148.29 	147.19 	: 
PC,S14_S15,DIR_S14_S15,SI	23.36 	24.57 	25.62 	29.33 	34.39 	40.37 	42.38 	44.71 	47.31 	46.83 	47.08 	: 
PC,S14_S15,DIR_S14_S15,SK	9.17 	11.79 	13.65 	20.40 	23.72 	30.58 	35.37 	37.08 	39.31 	42.50 	45.06 	: 
PC,S14_S15,DIR_S14_S15,UK	113.75 	123.12 	133.58 	136.12 	143.09 	149.57 	151.40 	146.58 	139.18 	136.20 	132.79 	: 
