neighborhood_name_ams,neighborhood_id_ams,year,incident_prio
Markengouw Midden,68d,2017,2.23076923077
Postjeskade e.o.,43b,2017,3.55555555556
AMC,92f,2017,3.06976744186
Venserpolder West,93a,2017,2.95454545455
Concertgebouwbuurt,47c,2017,3.66666666667
Westelijke eilanden,05d,2017,1.2
Spuistraat Noord,01d,2017,3.1
Legmeerpleinbuurt,44e,2017,1.4
Cornelis Schuytbuurt,47d,2017,2.11111111111
Oosterpark,28b,2017,3.75
Nieuwe Kerk e.o.,01e,2017,3.21428571429
Amsterdamse Poort,93e,2017,3.37142857143
Nes e.o.,00d,2017,3.09523809524
Zuidwestkwadrant Indische buurt,31c,2017,2.0
Veluwebuurt,52g,2017,3.25
Czaar Peterbuurt,09e,2017,2.14285714286
Sarphatistrook,08b,2017,3.0
Bellamybuurt Zuid,18b,2017,3.05882352941
Banne Zuidwest,70a,2017,3.11111111111
Koningin Wilhelminaplein,87a,2017,2.25
Oosterparkbuurt Zuidoost,28c,2017,2.25
Diamantbuurt,26a,2017,1.36363636364
Da Costabuurt Noord,17a,2017,2.42307692308
Tuindorp Frankendael,55h,2017,2.91666666667
Oosterdokseiland,04a,2017,3.64285714286
Transvaalbuurt West,30a,2017,2.66666666667
Borneo,33f,2017,2.5
Buurt 6,78a,2017,1.875
Beethovenbuurt,49b,2017,3.5
Overamstel,58f,2017,3.71428571429
RAI,23b,2017,3.07407407407
Oostzanerdijk,66b,2017,3.0
Haveneiland Zuidwest/Rieteiland West,35c,2017,2.0
Bloemenbuurt Noord,60c,2017,2.18181818182
Slotermeer Zuid,77a,2017,2.33333333333
Buurt 2,76b,2017,2.66666666667
Diepenbrockbuurt,49a,2017,2.71428571429
Wildeman,81a,2017,1.33333333333
Felix Meritisbuurt,02c,2017,3.0
Minervabuurt Zuid,49f,2017,2.2
Kortvoort,94d,2017,1.06666666667
Buurt 10,79b,2017,2.0
Bosleeuw,37c,2017,2.64705882353
Noordoostkwadrant Indische buurt,32a,2017,2.17857142857
Louis Chrispijnbuurt,89a,2017,2.6
Landlust Zuid,37d,2017,1.54545454545
Middelveldsche Akerpolder,84a,2017,3.65
Haveneiland Oost,51b,2017,2.23076923077
Van Tuyllbuurt,48f,2017,1.66666666667
Zuidwestkwadrant Osdorp Noord,82c,2017,2.54545454545
Steigereiland Zuid,35b,2017,3.53846153846
Middenmeer Noord,56b,2017,3.25
Johannnes Vermeerbuurt,47a,2017,3.5625
Jacob Geelbuurt,85c,2017,3.2972972973
Langestraat e.o.,02a,2017,3.33333333333
Medisch Centrum Slotervaart,89d,2017,2.15
Reigersbos Noord,96b,2017,1.88888888889
K-buurt Zuidwest,94h,2017,1.0
Kelbergen,94e,2017,1.0
Rembrandtpleinbuurt,03e,2017,2.375
Hemelrijk,01b,2017,2.83333333333
Osdorp Midden Noord,82a,2017,1.58333333333
Delflandpleinbuurt Oost,87c,2017,3.70967741935
Nieuw Sloten Noordoost,88f,2017,2.92307692308
Buurt 5 Noord,77d,2017,2.27272727273
Buurt 3,76a,2017,1.78947368421
F-buurt,93d,2017,2.16666666667
De Klenckebuurt,91a,2017,3.0
Frans Halsbuurt,24c,2017,1.66666666667
Bijlmermuseum Noord,94c,2017,2.14285714286
Molenwijk,66f,2017,1.64285714286
Middenmeer Zuid,56c,2017,2.86666666667
Gaasperdam Noord,96d,2017,3.26666666667
Jacques Veldmanbuurt,89b,2017,1.88888888889
Zuidwestkwadrant Osdorp Zuid,82d,2017,1.66666666667
Elandsgrachtbuurt,06g,2017,2.125
Leidsebuurt Noordwest,07a,2017,3.63636363636
Anjeliersbuurt Noord,06k,2017,3.0
Tuindorp Amstelstation,55f,2017,1.75
Spaarndammerbuurt Midden,13e,2017,1.88888888889
Buitenveldert Oost Midden,91b,2017,2.4
Erasmusparkbuurt West,38c,2017,1.54545454545
Emanuel van Meterenbuurt,85b,2017,2.47368421053
Eendrachtspark,78e,2017,1.0
Osdorper Binnenpolder,79a,2017,1.0
Don Bosco,55d,2017,1.5
De Aker West,84b,2017,2.0
Overtoomse Veld Zuid,86b,2017,2.0
De Aker Oost,84c,2017,1.90909090909
Holendrecht West,96a,2017,2.15384615385
Java-eiland,33c,2017,3.5
Anjeliersbuurt Zuid,06l,2017,2.11111111111
Kalverdriehoek,01h,2017,1.77777777778
Rijnbuurt Midden,54c,2017,3.0
Zuidoostkwadrant Indische buurt,32b,2017,1.1
Overtoomse Veld Noord,86a,2017,1.625
IJselbuurt West,53a,2017,1.57142857143
Linnaeusparkbuurt,56a,2017,2.0
Erasmusparkbuurt Oost,37e,2017,2.66666666667
Gaasperdam Zuid,96e,2017,2.25
Spaarndammerbuurt Zuidoost,13c,2017,2.0
Bedrijvenpark Lutkemeer,80c,2017,2.5
Buyskade e.o.,14f,2017,1.4
Banpleinbuurt,47e,2017,3.4
IJplein e.o.,61a,2017,1.44444444444
Borgerbuurt,19b,2017,2.18181818182
Haveneiland Noord,51c,2017,2.0
Papaverweg e.o.,71c,2017,2.71428571429
Betondorp,57a,2017,1.57142857143
Kolenkitbuurt Noord,39d,2017,2.7
Laan van Spartaan,39b,2017,3.29411764706
Scheldebuurt Oost,52d,2017,2.83333333333
Willemsparkbuurt Noord,46c,2017,3.63636363636
Gein Noordwest,97a,2017,3.4
de Plantage,08d,2017,3.1875
Buitenveldert Midden Zuid,90c,2017,2.0
Orteliusbuurt Zuid,42d,2017,2.33333333333
Oosterparkbuurt Zuidwest,28d,2017,2.25
Rechte H-buurt,93g,2017,3.18181818182
Nieuw Sloten Zuidwest,88h,2017,1.5
Leidsebuurt Zuidoost,07d,2017,3.66666666667
Gein Zuidwest,97b,2017,3.0
Oostoever Sloterplas,85a,2017,2.25
Cremerbuurt West,21a,2017,2.0
Terrasdorp,65c,2017,2.09090909091
Delflandpleinbuurt West,87d,2017,2.36363636364
Vivaldi,23e,2017,2.5
BG-terrein e.o.,00e,2017,3.83333333333
Marathonbuurt West,48c,2017,1.0
Transvaalbuurt Oost,30b,2017,1.85714285714
Osdorp Midden Zuid,82b,2017,1.75
Vogeltjeswei,93j,2017,3.0
Valeriusbuurt Oost,46a,2017,2.4
Banne Noordoost,70d,2017,1.75
Buurt 5 Zuid,77f,2017,1.0
Loenermark,69c,2017,2.0
Filips van Almondekwartier,75b,2017,1.5
Frederik Hendrikbuurt Zuidwest,16c,2017,3.0
Willibrordusbuurt,25a,2017,1.33333333333
Duivelseiland,47j,2017,2.0
Scheldebuurt West,52b,2017,1.23076923077
Buurt 9,78d,2017,2.96428571429
Kop Zeedijk,00a,2017,1.75
Hoptille,93f,2017,1.33333333333
Zuidas Noord,23a,2017,3.36363636364
Rietlanden,33b,2017,2.53333333333
Vondelpark Oost,47i,2017,2.8
Johan Jongkindbuurt,86e,2017,4.09090909091
Hiltonbuurt,49c,2017,3.0
De Punt,83a,2017,3.25
Dapperbuurt Zuid,29b,2017,2.125
